Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2024-10-01;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-30 22:00:00+00:00;NaN;NaN;NaN
2024-10-01;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-30 23:00:00+00:00;NaN;NaN;NaN
2024-10-01;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 00:00:00+00:00;NaN;NaN;NaN
2024-10-01;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 01:00:00+00:00;NaN;NaN;NaN
2024-10-01;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 02:00:00+00:00;NaN;NaN;NaN
2024-10-01;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 03:00:00+00:00;NaN;NaN;NaN
2024-10-01;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 04:00:00+00:00;NaN;NaN;NaN
2024-10-01;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 05:00:00+00:00;NaN;NaN;NaN
2024-10-01;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 06:00:00+00:00;NaN;NaN;NaN
2024-10-01;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 07:00:00+00:00;NaN;NaN;NaN
2024-10-01;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 08:00:00+00:00;NaN;NaN;NaN
2024-10-01;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 09:00:00+00:00;NaN;NaN;NaN
2024-10-01;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 10:00:00+00:00;NaN;NaN;NaN
2024-10-01;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 11:00:00+00:00;NaN;NaN;NaN
2024-10-01;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 12:00:00+00:00;NaN;NaN;NaN
2024-10-01;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 13:00:00+00:00;NaN;NaN;NaN
2024-10-01;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 14:00:00+00:00;NaN;NaN;NaN
2024-10-01;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 15:00:00+00:00;NaN;NaN;NaN
2024-10-01;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 16:00:00+00:00;NaN;NaN;NaN
2024-10-01;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 17:00:00+00:00;NaN;NaN;NaN
2024-10-01;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 18:00:00+00:00;NaN;NaN;NaN
2024-10-01;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 19:00:00+00:00;NaN;NaN;NaN
2024-10-01;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 20:00:00+00:00;NaN;NaN;NaN
2024-10-01;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 21:00:00+00:00;NaN;NaN;NaN
2024-10-01;0;100.00;-1.52;-2.33;0.00;0.73;2024-10-01 00:00:00+02:00;9.00;223.00;1.00;222.00;2024-09-30 22:00:00+00:00;27.00;30.00;27.00
2024-10-01;1;100.00;-1.52;-2.33;0.00;0.73;2024-10-01 01:00:00+02:00;9.00;127.00;0.00;127.00;2024-09-30 23:00:00+00:00;14.00;NaN;14.00
2024-10-01;2;100.00;-1.17;0.00;0.00;0.77;2024-10-01 02:00:00+02:00;10.00;98.00;1.00;97.00;2024-10-01 00:00:00+00:00;24.00;25.00;24.00
2024-10-01;3;100.00;-1.17;0.00;0.00;0.77;2024-10-01 03:00:00+02:00;10.00;69.00;2.00;67.00;2024-10-01 01:00:00+00:00;29.00;31.00;29.00
2024-10-01;4;100.00;-1.17;0.00;0.00;0.77;2024-10-01 04:00:00+02:00;10.00;111.00;8.00;103.00;2024-10-01 02:00:00+00:00;41.00;42.00;41.00
2024-10-01;5;100.00;-1.17;0.00;0.00;0.77;2024-10-01 05:00:00+02:00;10.00;261.00;9.00;252.00;2024-10-01 03:00:00+00:00;36.00;37.00;36.00
