Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2024-10-01;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-30 22:00:00+00:00;NaN;NaN;NaN
2024-10-01;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-30 23:00:00+00:00;NaN;NaN;NaN
2024-10-01;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 00:00:00+00:00;NaN;NaN;NaN
2024-10-01;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 01:00:00+00:00;NaN;NaN;NaN
2024-10-01;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 02:00:00+00:00;NaN;NaN;NaN
2024-10-01;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 03:00:00+00:00;NaN;NaN;NaN
2024-10-01;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 04:00:00+00:00;NaN;NaN;NaN
2024-10-01;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 05:00:00+00:00;NaN;NaN;NaN
2024-10-01;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 06:00:00+00:00;NaN;NaN;NaN
2024-10-01;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 07:00:00+00:00;NaN;NaN;NaN
2024-10-01;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 08:00:00+00:00;NaN;NaN;NaN
2024-10-01;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 09:00:00+00:00;NaN;NaN;NaN
2024-10-01;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 10:00:00+00:00;NaN;NaN;NaN
2024-10-01;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 11:00:00+00:00;NaN;NaN;NaN
2024-10-01;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 12:00:00+00:00;NaN;NaN;NaN
2024-10-01;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 13:00:00+00:00;NaN;NaN;NaN
2024-10-01;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 14:00:00+00:00;NaN;NaN;NaN
2024-10-01;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 15:00:00+00:00;NaN;NaN;NaN
2024-10-01;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 16:00:00+00:00;NaN;NaN;NaN
2024-10-01;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 17:00:00+00:00;NaN;NaN;NaN
2024-10-01;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 18:00:00+00:00;NaN;NaN;NaN
2024-10-01;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 19:00:00+00:00;NaN;NaN;NaN
2024-10-01;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 20:00:00+00:00;NaN;NaN;NaN
2024-10-01;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-10-01 21:00:00+00:00;NaN;NaN;NaN
2024-10-01;0;100.00;0.00;0.33;0.00;0.56;2024-10-01 00:00:00+02:00;9.00;3.00;0.00;3.00;2024-09-30 22:00:00+00:00;46.00;NaN;46.00
2024-10-01;1;100.00;0.00;0.33;0.00;0.56;2024-10-01 01:00:00+02:00;9.00;0.00;0.00;0.00;2024-09-30 23:00:00+00:00;NaN;NaN;NaN
2024-10-01;2;100.00;-1.56;-0.94;0.00;0.59;2024-10-01 02:00:00+02:00;10.00;2.00;0.00;2.00;2024-10-01 00:00:00+00:00;42.00;NaN;42.00
2024-10-01;3;100.00;-1.56;-0.94;0.00;0.59;2024-10-01 03:00:00+02:00;10.00;0.00;0.00;0.00;2024-10-01 01:00:00+00:00;NaN;NaN;NaN
2024-10-01;4;100.00;-1.56;-0.94;0.00;0.59;2024-10-01 04:00:00+02:00;10.00;0.00;0.00;0.00;2024-10-01 02:00:00+00:00;NaN;NaN;NaN
2024-10-01;5;100.00;-1.56;-0.94;0.00;0.59;2024-10-01 05:00:00+02:00;10.00;5.00;0.00;5.00;2024-10-01 03:00:00+00:00;38.00;NaN;38.00
